,ness_ID,Cincerta_transcript_ID,PID,aligned_sites,k0,k4,diffs0,sites0,diffs4,sites4,gene,transcript,SFS0,SFS4,pi0,pi4,max_connectivity,BetweennessCentrality
0,26898847,g9014.t1,0.08,1002,0.019868711585232256,0.332869481985458,13,663,50,186,Cre13.g602350,Cre13.g602350.t1.2,"[660, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[180, 4, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0007207313942696917,0.010742594910304546,5,0.00164252
1,26904847,g13300.t1,0.11,3975,0.06419726187036158,0.3176295246551055,158,2568,210,811,Cre10.g437950,Cre10.g437950.t1.2,"[2420, 11, 9, 9, 12, 7, 4, 9, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[681, 9, 14, 21, 15, 13, 11, 8, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.009320555660635102,0.0448729214263597,4,0.00132097
2,26903750,g9831.t1,0.06,1230,0.02645110412809349,0.1793057800398031,21,808,37,232,Cre01.g042800,Cre01.g042800.t1.2,"[579, 1, 0, 4, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[165, 3, 0, 2, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.005190965274998889,0.014167516717669727,5,0.000328
3,26903750,g9831.t1,0.06,1230,0.02645110412809349,0.1793057800398031,21,808,37,232,Cre01.g042800,Cre01.g042800.t1.2,"[579, 1, 0, 4, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[165, 3, 0, 2, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.005190965274998889,0.014167516717669727,5,0.000377
4,26903374,g6413.t1,0.07,1166,0.022060413904720005,0.2552443544529023,17,782,45,208,Cre01.g022650,Cre01.g022650.t1.2,"[773, 2, 1, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[187, 10, 6, 0, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0041873526904367886,0.021964555052790345,6,0.00124944
5,26903374,g6413.t1,0.07,1166,0.022060413904720005,0.2552443544529023,17,782,45,208,Cre01.g022650,Cre01.g022650.t1.2,"[773, 2, 1, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[187, 10, 6, 0, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0041873526904367886,0.021964555052790345,6,0.0015436
6,26902411,g10937.t1,0.04,1041,0.007313563560460657,0.1584818202504052,5,687,28,196,Cre03.g149100,Cre03.g149100.t1.2,"[958, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[264, 3, 3, 3, 1, 0, 3, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0010484749455337693,0.02025911194845673,6,0.00170685
7,26902644,g11077.t1,0.09,878,0.028815068588508363,0.30629502591543956,16,566,43,171,Cre03.g155200,Cre03.g155200.t1.3,"[655, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[186, 7, 1, 0, 4, 5, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0004874603316719889,0.027164036346245816,2,1.32e-05
8,26902595,g5168.t1,0.06,1418,0.02133097919829148,0.15372744616760342,20,951,36,259,Cre03.g188800,Cre03.g188800.t1.2,"[1060, 6, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[279, 1, 1, 1, 6, 6, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0014565126924677488,0.024937491775233585,4,0.00010800000000000001
9,26896227,g3556.t1,0.1,1472,0.027167041055899763,0.3376031611198176,25,937,84,309,Cre17.g708800,Cre17.g708800.t1.3,"[878, 2, 2, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[259, 9, 11, 1, 3, 5, 0, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.002038329456076216,0.03379129429549597,7,0.000958
10,26907983,g12094.t1,0.04,1668,0.01275463474966138,0.1514326201291085,14,1107,41,299,Cre12.g509650,Cre12.g509650.t1.2,"[945, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[243, 7, 3, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0005527228509444652,0.01731142907613496,4,0.00011999999999999999
11,26907983,g12094.t1,0.04,1668,0.01275463474966138,0.1514326201291085,14,1107,41,299,Cre12.g509650,Cre12.g509650.t1.2,"[945, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[243, 7, 3, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0005527228509444652,0.01731142907613496,4,0.00040199999999999996
12,26888564,g11535.t1,0.06,1376,0.01083051311609577,0.22683582079417625,10,930,46,235,Cre08.g372950,Cre08.g372950.t1.2,"[926, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 8, 3, 6, 1, 3, 5, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0005558017968579609,0.04183006535947713,6,0.00117793
13,26888564,g11535.t1,0.06,1376,0.01083051311609577,0.22683582079417625,10,930,46,235,Cre08.g372950,Cre08.g372950.t1.2,"[926, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 8, 3, 6, 1, 3, 5, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0005558017968579609,0.04183006535947713,6,0.0009710000000000001
